日期,开盘,收盘,最高,最低,成交量,MA7,MA14,MA20,MA60,DIF,DEA,MACD,RSI14
2025-12-30,69.22,69.96,70.48,69.22,15099403.0,68.49999999999999,66.97714285714287,66.723,,1.1365793746020785,0.6950495571140727,0.4415298174880058,61.00759144237406
2025-12-31,69.5,68.64,69.62,68.23,12830584.0,68.86285714285714,67.23928571428571,66.914,,1.1082587930523857,0.7776914043017353,0.3305673887506504,63.09778729478946
2026-01-05,69.3,70.27,70.27,68.91,14936220.0,69.58857142857143,67.53285714285714,67.1545,,1.2034690634273915,0.8628469361268666,0.3406221273005249,64.22145328719725
2026-01-06,70.47,72.0,72.0,70.13,20747812.0,69.97142857142858,68.07714285714286,67.44949999999999,,1.4023549554485157,0.9707485399911964,0.43160641545731937,76.45833333333339
2026-01-07,73.12,73.89,76.6,73.12,34205998.0,70.56142857142858,68.75785714285715,67.833,,1.6929652132377555,1.1151918746405083,0.5777733385972472,79.28703134603569
2026-01-08,73.57,72.76,73.89,72.5,16482298.0,71.05857142857143,69.23857142857142,68.1005,,1.8112158116397126,1.254396662040349,0.5568191495993635,71.39224411951689
2026-01-09,72.11,72.95,73.31,72.05,15137557.0,71.49571428571429,69.70142857142858,68.40950000000001,,1.8983783509957703,1.3831929998314334,0.515185351164337,70.93023255813958
2026-01-12,73.2,73.29,73.55,72.0,20487754.0,71.97142857142858,70.23571428571428,68.8255,,1.9721566556081171,1.5009857309867702,0.4711709246213469,74.67018469656996
2026-01-13,73.26,70.52,73.36,70.28,19022591.0,72.24,70.55142857142857,69.0435,,1.7865167899271057,1.5580919427748374,0.2284248471522683,62.52834467120182
2026-01-14,71.01,71.15,72.42,70.18,18267006.0,72.36571428571429,70.97714285714287,69.382,,1.670969695277563,1.5806674932753826,0.09030220200218042,67.16589861751153
2026-01-15,70.56,71.39,71.49,69.77,15785607.0,72.27857142857142,71.12500000000001,69.73349999999999,,1.5805442542241934,1.5806428454651449,-9.859124095146221e-05,57.68374164810692
2026-01-16,71.85,73.17,73.9,71.09,24700973.0,72.17571428571429,71.36857142857143,70.09049999999999,,1.6336805126100131,1.5912503788941186,0.04243013371589455,61.5124915597569
2026-01-19,73.75,71.8,73.77,71.76,16839328.0,72.03857142857143,71.54857142857142,70.357,,1.5474062932529193,1.582481561765879,-0.03507526851295961,58.02547770700635
2026-01-20,71.78,71.93,73.18,71.22,16377142.0,71.89285714285715,71.69428571428571,70.663,,1.4725486422665597,1.5604949778660153,-0.08794633559945564,56.701708278580824
2026-01-21,71.01,76.08,76.37,71.01,41185984.0,72.29142857142857,72.13142857142857,71.162,,1.7281724354565569,1.5940304693841236,0.13414196607243323,65.85492227979276
2026-01-22,77.97,75.57,78.0,74.67,27348018.0,73.01285714285714,72.62642857142858,71.681,,1.8680694536486442,1.6488382662370278,0.2192311874116164,68.73985938345047
2026-01-23,76.0,76.0,76.67,74.22,22594757.0,73.7057142857143,73.03571428571429,72.01500000000001,,1.9906888331022827,1.717208379610079,0.27348045349220373,66.5702718334297
2026-01-26,75.99,74.6,77.76,73.85,23528913.0,74.16428571428571,73.22142857142856,72.257,,1.95239132318018,1.7642449683240993,0.18814635485608067,57.665094339622605
2026-01-27,74.43,77.07,78.77,73.01,35077444.0,74.72142857142856,73.44857142857143,72.6465,,2.097173714857391,1.8308307176307577,0.2663429972266331,59.06499429874569
2026-01-28,80.92,78.33,84.2,78.1,60767608.0,75.6542857142857,73.84642857142856,73.0685,,2.2872206175690764,1.9221086976184216,0.36511191995065473,65.7611771363893
2026-01-29,78.45,75.45,79.33,75.26,32742368.0,76.15714285714284,74.02499999999999,73.34299999999999,,2.180308981601655,1.9737487544150685,0.20656022718658673,56.139489194499006
2026-01-30,74.56,76.14,77.75,73.2,25906553.0,76.16571428571429,74.22857142857143,73.718,,2.1267422128909885,2.004347446110253,0.12239476678073569,56.8807339449541
2026-02-02,75.0,69.98,75.42,69.95,29734082.0,75.36714285714285,74.19000000000001,73.7035,,1.5691415569166338,1.917306268271529,-0.34816471135489513,48.87966804979255
2026-02-03,71.6,71.8,73.0,70.89,18058188.0,74.76714285714286,74.23642857142856,73.6935,,1.2595781762311304,1.7857606498634495,-0.5261824736323191,51.28509292210359
2026-02-04,71.36,69.73,71.5,68.51,18306727.0,74.07142857142857,74.11785714285713,73.4855,,0.8375603916344403,1.5961205982176478,-0.7585602065832076,46.939528023598825
2026-02-05,68.63,70.25,70.89,68.35,13997324.0,73.09714285714287,73.90928571428572,73.36,,0.5388563109203943,1.3846677407581973,-0.845811429837803,44.35421500386697
2026-02-06,69.5,68.75,69.8,68.57,11148830.0,71.72857142857143,73.69142857142857,73.15,,0.17902996493735657,1.143540185594029,-0.9645102206566725,44.132358599461334
2026-02-09,69.72,69.33,69.92,69.0,10202068.0,70.85428571428572,73.50571428571428,72.952,,-0.0586576846497735,0.9031006115452687,-0.9617582961950422,45.08320726172464
2026-02-10,69.23,69.29,70.34,69.04,10757141.0,69.87571428571428,73.02071428571429,72.8905,,-0.24740262168072036,0.672999964900071,-0.9204025865807913,34.796238244514115
2026-02-11,69.29,68.91,69.86,68.88,9756630.0,69.72285714285714,72.545,72.7785,,-0.4227736963154314,0.4538452326569706,-0.876618928972402,35.0
2026-02-12,69.12,70.08,70.8,68.92,13249779.0,69.47714285714285,72.12214285714286,72.713,,-0.46202141921936857,0.27067190228170274,-0.7326933215010714,37.09677419354838
2026-02-13,69.56,70.41,72.4,69.5,14986564.0,69.57428571428572,71.82285714285715,72.575,,-0.4611810719877667,0.12430130742780886,-0.5854823794155756,40.4206675811614
2026-02-24,71.2,69.99,71.22,69.6,11012426.0,69.53714285714285,71.31714285714285,72.4845,,-0.48877132903436404,0.00168678013537428,-0.4904581091697383,32.13925327951563
